Vardas                   Pavardė                        ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9      ND10      ND11      ND12      ND13      ND14      ND15 Egzaminas
VardasNR28               PavardeNR28                       7         4         4         2        10         6         1         6         1         8         5         7         3         3         8         9
VardasNR29               PavardeNR29                       1         3         2         8         6         6        10         3        10        10         3         2         6         9         3         3
VardasNR30               PavardeNR30                       1         4         4         7         9        10         7         7         5         9         5         5         4         4         9         5
VardasNR31               PavardeNR31                       2         5         1         8         3        10         2         5         1         6         6        10         6         1         6         6
VardasNR32               PavardeNR32                       1         1         5         7         2         3         1         6         5        10         4         6         3         8         6         1
VardasNR33               PavardeNR33                       7        10         6         1         9         6         8         1        10         4         4         2         1         9         4         4
VardasNR34               PavardeNR34                       8         6         5         3         4         8         6         7         8         2         5         1         7         8         1        10
VardasNR35               PavardeNR35                       4         7         3         7        10         2         3         2         6         2         3        10         8         1         8         6
VardasNR36               PavardeNR36                      10         1         8         8         1         9         5         7        10         2         2         8        10         9         1         5
VardasNR37               PavardeNR37                       6         3         7         9         7         3         4         2         9        10        10        10         1         7         5         9
VardasNR38               PavardeNR38                       4         2         4         6         8         7         7         7         8        10         4         3         9         8         1         9
VardasNR39               PavardeNR39                       9         1         1         2         8         2         7         7         9         2         4        10        10         6         8        10
VardasNR40               PavardeNR40                       1         8         3         8         4        10         8         1         5         2         4         4         6         7        10         4
VardasNR41               PavardeNR41                       5         3         4         8         3         1         8         3         8         7         5         5         5         7         2         4
VardasNR42               PavardeNR42                       3         7         7         8         8        10        10         6         9        10         9         3        10         8         4        10
VardasNR43               PavardeNR43                       7         1         5         1         9         2         6         1         9         5        10         7         7         7         9         8
VardasNR44               PavardeNR44                       3         1         5        10         1         4         3         2         3         7         4        10         4         4         6         8
VardasNR45               PavardeNR45                       9         4         7         5         7         6         3         8         8         7         9         8         3         5        10         3
VardasNR46               PavardeNR46                       7         7         1         2         2         6         3         7         8         4        10         3         2         6         1         2
VardasNR47               PavardeNR47                       4         3         7         3         8         6         9         3         9         4         8         7         7         6         8         5
VardasNR48               PavardeNR48                       7         7         2         7         4         3         6         6         9         5         6         5         6         2         4         1
VardasNR49               PavardeNR49                       9         7        10         1         2         4         9         6         8         6         3         8         6         1        10         3
VardasNR50               PavardeNR50                       3         9         4         6         6         8         4         8         9         3         9         1         2         8         4         6
VardasNR51               PavardeNR51                       8         7        10         4         9         2         1         1         3         8        10         2         5         6         6         1
VardasNR52               PavardeNR52                       8         5         3         6         5         2         4         6         4         3         8         7         8         7         2         8
VardasNR53               PavardeNR53                       8         2         3         1         3         5         4         8         6         2         1         2         5         5         2         8
VardasNR54               PavardeNR54                       1         1         5         1         1         9         2         3         8        10         2         8         8         2         2         2
VardasNR55               PavardeNR55                       4         3         5         3         1         3         7         9         6         3         5         6         5         6         9        10
VardasNR56               PavardeNR56                       7         1         1         9         1         5         9         9         8         6         8         1         6         9         5        10
VardasNR57               PavardeNR57                       1         1         4         6         6         9         4         6         8         4         8         7         5         5         5         5
VardasNR58               PavardeNR58                       9         4         5        10         5         1         3         1         1         8         7         3        10         1         7         9
VardasNR59               PavardeNR59                       5         5         9         6         3         2         2         8         8         1         9         5         4         1         7         2
VardasNR60               PavardeNR60                       7         7         3         6         9         8         7        10         5         5         5         9        10         5         9        10
VardasNR61               PavardeNR61                       2         2         9        10         1        10         7         2         5         9         1         1         8         6         9         9
VardasNR62               PavardeNR62                       9        10         7         5         2         8         2         3         8         6         9        10         5         1         2         8
VardasNR63               PavardeNR63                       7         7         1        10         5        10         6         6         8         7        10         8         3         2         1        10
VardasNR64               PavardeNR64                       1         7         2        10         5         4         5         6        10         1        10         8         2         1         8         3
VardasNR65               PavardeNR65                       3         1         6         6         9         1         2         3         3         1         6        10         2         7         3        10
VardasNR66               PavardeNR66                       3         9         5         4         1         9         4         4         3         2         8         4         8         6         5         5
VardasNR67               PavardeNR67                       1         1         1         2         1         7         5         8         7         2         9         2         5         1        10         5
VardasNR68               PavardeNR68                       9         6         4         9         8        10         1         8         6         2         3         5         8         2         6         1
VardasNR69               PavardeNR69                       4         4        10         1         1         4         3         2         5         3         8         6         9         2         3         5
VardasNR70               PavardeNR70                       8         8         8         9         8        10        10        10         9         5         5         8         4         1         1        10
VardasNR71               PavardeNR71                       8         5         2         9         4         5         1         9         9         3         7         6         3         2         3         2
VardasNR72               PavardeNR72                       4        10         1        10         8         2         2         9         5         4         9        10         7         5         8         1
VardasNR73               PavardeNR73                       6         2         6         4        10         6         7         5         8         4         1        10         3         7         8         2
VardasNR74               PavardeNR74                       3         3         3         3         5         1        10         1         2         1         1         1         4         9         2         2
VardasNR75               PavardeNR75                       4         1         3         4         9         1         1         8         5         5         7         9         5         6         9         5
VardasNR76               PavardeNR76                       3         5         5         7         7         9         1        10         9         1         4         1         8         8         6         5
VardasNR77               PavardeNR77                       4        10         7         2         1         1        10         6         6         9        10         6         2         9         2         1
VardasNR78               PavardeNR78                       7         9         9         2         2         8         7         3         7         3         9         3         3         7         2         5
VardasNR79               PavardeNR79                       1         9         1         3         2         1         8         9         2         6         4         8         1         2         3        10
VardasNR80               PavardeNR80                       8         6         9         4         8         2         7         6         8         7        10         1         4         9         7         2
VardasNR81               PavardeNR81                       9         4         5         9         1         2         2        10         4         8         2        10         3         8         6         5
VardasNR82               PavardeNR82                       4         2        10         1         4         5         7         4         1         7         9         6         5         8         4         6
VardasNR83               PavardeNR83                       5         1         2         3         9         3         6         8         6         4         8         6         4         4         3         5
VardasNR84               PavardeNR84                       8         4         6         7         4         3         8         7         4         6         2         9        10         8         8         9
VardasNR85               PavardeNR85                       9         6         6         8         1         3         4         8         8         1        10        10         5         8         9         5
VardasNR86               PavardeNR86                      10         3         7         9         6        10         2         4         3         3         4         4         3         6         4         1
VardasNR87               PavardeNR87                       6         1         9         6         6         7         6         1         8         2         4         1         8         8         1         6
VardasNR88               PavardeNR88                       7        10         1         4         3         8         3        10         1         5         7         3         4         1         4         4
VardasNR89               PavardeNR89                       3        10         4         1         6         4         5         9         1         6        10         9        10         9         3         7
VardasNR90               PavardeNR90                      10         2         5         7         5         3         7         3         7         6         5        10         6         9         8         7
VardasNR91               PavardeNR91                       1         3         3         7         8         1         2        10         6        10         8         8         9        10         7         6
VardasNR92               PavardeNR92                       8         2         4         4         6         1         5         1         9         5         7         3         3         2         2        10
VardasNR93               PavardeNR93                       1         3         8         3         3         3         9         1         4         4         7         9         3         1         4         4
VardasNR94               PavardeNR94                       2         6         3         7         8         9         2         4         1         7         4         5         7        10         6         3
VardasNR95               PavardeNR95                       2         7         8         6         8         6         1         1         5         4         4         9        10         6         3         4
VardasNR96               PavardeNR96                      10        10         3        10         9         7         2         8         5         9         5         2         2         7        10         3
VardasNR97               PavardeNR97                       2         6         3         6        10         5         9        10         7         8         2         5         7         5         7         7
VardasNR98               PavardeNR98                       7         4         5         5         8         9         1         1         4         5         8         4         6         9         5         6
VardasNR99               PavardeNR99                       2         6        10         6         7         1         2         5         2         9         6         6         9         9         7         6
VardasNR100              PavardeNR100                      7         5         3         1         8         9         1         1         7         9         2         9         6         1         8         1
VardasNR101              PavardeNR101                      5        10         9         6         3        10         9         2         8         2         9        10         6         1         1         6
VardasNR102              PavardeNR102                     10         5         4         6         5        10         1         6         3         4         5         5         7         2         2         8
VardasNR103              PavardeNR103                      1         6         5         6         3         6         6         2         8         4         6         7         1         4         5         6
VardasNR104              PavardeNR104                      2         3        10         2         2         6         8         8         4         5        10         7         2         1         4         8
VardasNR105              PavardeNR105                      5         2         6         5        10         6        10         7         8         9        10         8         7         4         7         4
VardasNR106              PavardeNR106                      1         9        10         6         1         8         3         8         5         9         9         9         4         2         2         5
VardasNR107              PavardeNR107                      4         2         2         4         3         1         6         5         8         2        10         6         1        10         7         5
VardasNR108              PavardeNR108                      9         3         1         5         3         1         3         6         7         2         2         2         8         3         1         2
VardasNR109              PavardeNR109                      9         8         5         5         4         3         7         8        10         7         1         1         5         7         6         5
VardasNR110              PavardeNR110                      2         4         6         1        10         6         4         1         1         8         6         9         4         1         5         2
VardasNR111              PavardeNR111                      4         4         5         5         8         7         4         6         4         7         7         6        10         6         7         8
VardasNR112              PavardeNR112                     10         2         3         9         1         2         2         4         5        10         4         7         8         3         9         5
VardasNR113              PavardeNR113                      4         9         4         1         4         7         4         8        10         7         4         8         2         5         6         6
VardasNR114              PavardeNR114                      4        10         9        10         3         5         2         8         4         2         5         5         2         6         1         9
VardasNR115              PavardeNR115                      9         6         7         1         2         4         5         4         6         6         4         4         1         4         6         2
VardasNR116              PavardeNR116                      3         6         9         8        10        10         9         6         2         1         2         9         1         5        10         7
VardasNR117              PavardeNR117                     10         6         9         4         5         4         6        10         1         2         1         5         7         3         8         2
VardasNR118              PavardeNR118                      1         3         3         2         2         3         3         9         5         4         5         3         1         5         1         7
VardasNR119              PavardeNR119                      6         1         7         4         3         9         7         6         4        10         2         5         3         4         9         8
VardasNR120              PavardeNR120                      7         2         9         9         3         7         6         7         8         6         3         5         1         8         2         1
VardasNR121              PavardeNR121                      8        10         7         9         7         4         9         6         2         2         3         5         8        10         6         6
VardasNR122              PavardeNR122                      2         1         7         4         7         7         3         9         8         2         3         2         6         4         4         7
VardasNR123              PavardeNR123                     10         5         5         3         1         7         5         3        10         1         3        10         9         2         5         6
VardasNR124              PavardeNR124                      9         7         5         8         3         8        10         2         8         5         9         9         8         5         1         1
VardasNR125              PavardeNR125                      1         8         7         6         4         2        10         3         6         8         8         5         2         2         3        10
VardasNR126              PavardeNR126                      6         6         3        10         3         7        10         6         7         8         2         9         2         2         8         6
VardasNR127              PavardeNR127                      6         7         1         5         7        10         6         7         4         4         6         9         8         1         2         3
VardasNR128              PavardeNR128                      4         6         7         8         9         9         6         3        10         6         3         8         3         6         3         2
VardasNR129              PavardeNR129                      2         9         6         4         7         9         3         1         8         6         9         1         3         6         7         6
VardasNR130              PavardeNR130                     10         4         7        10         3         4         9         3         8         2         8         7         4         3         4        10
VardasNR131              PavardeNR131                      4         8         6         5         4         1         1         3         4         4         8        10        10         1         9         2
VardasNR132              PavardeNR132                      5         6         2         4         4         4        10         6         1         4         4         6         5         9         1         3
VardasNR133              PavardeNR133                      9         4         5         8         9         2         9        10         8         3         8         5         5         6         5         9
VardasNR134              PavardeNR134                     10         7         3         6         8         1         2         2         4         2         5         8         6         8         5         6
VardasNR135              PavardeNR135                      5         3         1        10         7         6         9         5         6         6         4         6         7         9         4         2
VardasNR136              PavardeNR136                      7         1         6         6         4         6         9         2         5         5        10        10         2         8         5         9
VardasNR137              PavardeNR137                      8         9        10         6         3         8         8         7         4         7         9         5         3         9        10         7
VardasNR138              PavardeNR138                      1         9         4         8         6        10        10         6         4        10         8         1         4         9        10         1
VardasNR139              PavardeNR139                     10         5         2         7        10         9         3         4         3         8         2         8         1         7         8         3
VardasNR140              PavardeNR140                      8         7         8         7         8         5         6         4        10         2         9        10         5         6         2        10
VardasNR141              PavardeNR141                      8         6         4         2         9         5         2         9         6         3         5         6         4        10         7         3
VardasNR142              PavardeNR142                      5         7         3         7         7         6         2         5         6         9         8         3         2         3         2         5
VardasNR143              PavardeNR143                      5         5         8         9        10         7         2        10         7         5         2        10         2         7         7        10
VardasNR144              PavardeNR144                     10         3         7         8         3         2         9         9         6         3         3         8        10        10         9         2
VardasNR145              PavardeNR145                      9         7         6         6         1         2         5         5        10         6         7         1         6         9         7         5
VardasNR146              PavardeNR146                      2         5         3         8         3         5         7         9         1        10         8         8        10         4         6         3
VardasNR147              PavardeNR147                      8         6        10         2         7         1         3         8         2         4         3         7         6         4         6         4
VardasNR148              PavardeNR148                      3         2         5         4         5         4         1         7        10         7         3         1         3         7        10         4
VardasNR149              PavardeNR149                      9         5        10         9         1         9         4         2         9         4         3         5         7         7         9         8
VardasNR150              PavardeNR150                      9         4         3         1         8        10         2         8         3         5         6         2         7         9         5         2
VardasNR151              PavardeNR151                      1        10         4         7         4        10         1         7         3         1         1         9         8         6         9         8
VardasNR152              PavardeNR152                     10         5         6         7         9         2         2         6         8         5         7         8         9         3         4         1
VardasNR153              PavardeNR153                      8         3         2         5         9         4        10         4        10         4         9         6         5         9         7         3
VardasNR154              PavardeNR154                      4         7         3         2         7         2         5         1         8         4         2         2         5         1         6         3
VardasNR155              PavardeNR155                      7         3         3        10         1        10         5         8         2         3         9         3         3         5         2         2
VardasNR156              PavardeNR156                      2        10         4         3         3         4         6         4         4         3         8         9         4         7         4         7
VardasNR157              PavardeNR157                      8         1         7         6         8         6         7         6         6         5         1         5         1         2         4         5
VardasNR158              PavardeNR158                      4         6         8         6         7         1         8         3         2         4         6         5         1         9         8        10
VardasNR159              PavardeNR159                      8         5         9         5         3         3         9         4         8         9         7         8         3         8         6         4
VardasNR160              PavardeNR160                      8         8         4         3         9         2         6         3         8         6         8         5         6         4        10         3
VardasNR161              PavardeNR161                      8         4         3         1         9         1         2         2         7        10         1         6         9         9         1        10
VardasNR162              PavardeNR162                      9         3         2         7         1         3         2         8         5         9         9         6         8         5         3        10
VardasNR163              PavardeNR163                      4        10         3         4         7         2         9         3         1         1         4         6         7         3         7         2
VardasNR164              PavardeNR164                      4         8         1         2         5         4         9         9         4        10         4         9         1         4         1         3
VardasNR165              PavardeNR165                      9         9         6         5         6        10         9         9         2        10         4        10         5         4         3         7
VardasNR166              PavardeNR166                      3         4         6         4         8         9        10         4         9         8         3        10         4         4         7         1
VardasNR167              PavardeNR167                      5         4         7         9         9         9        10         8         6         9         9         8         2        10         2         9
VardasNR168              PavardeNR168                      6         8         9         2         4         4        10         6         8         4        10         4         5         9         8        10
VardasNR169              PavardeNR169                      3         1         1         5         2         5         9         3         6         9        10         2         7         1         7         4
VardasNR170              PavardeNR170                      7         8         2         1         1         6        10         8         6         8         4         5         6         7         9         4
VardasNR171              PavardeNR171                      9         9         9         9         9        10         5         3         6         5         9         3         5         9        10         9
VardasNR172              PavardeNR172                      5        10         5         2        10         2        10         2         9         8         3         5         4         8         4         3
VardasNR173              PavardeNR173                      7        10         8         4         5         5         1         4         9         5         2         8         7         6        10         5
VardasNR174              PavardeNR174                      8        10         3        10         9         9         2         5         6         5         5         4         3         5         5         5
VardasNR175              PavardeNR175                      9         9         5        10         3         8         1         4        10         5         4         4         3         8         4         5
VardasNR176              PavardeNR176                      7         9        10         1        10         9         2         7         4         2        10         6        10         4        10         2
VardasNR177              PavardeNR177                      6         9         9         8         8         2         8         6         7         2         6         3         6         5         4         3
VardasNR178              PavardeNR178                      5         4         5         8         1        10         5         8         3         2         4         5         7        10         6         4
VardasNR179              PavardeNR179                     10         4         4         1         9         1         3         2         8         6         7         3         4         1         5        10
VardasNR180              PavardeNR180                      1         8         1         8        10        10         4         2         6         8         9        10         6         2        10         3
VardasNR181              PavardeNR181                      6         6         9         1         1         2         9         1         2        10         5         2         3         6         2        10
VardasNR182              PavardeNR182                      8         3        10         8         2         5         9         9         9         7         4         4         5         6         8         2
VardasNR183              PavardeNR183                      7         7         1         6         8         3         6         1         3         9         8         1         2         3         5         6
VardasNR184              PavardeNR184                      2         2        10         6         2         6         3         3         9         8        10         7         8        10         8         4
VardasNR185              PavardeNR185                      5         4         8         1         4         5         3        10         9         4        10         2         8         5         1         7
VardasNR186              PavardeNR186                      1        10         3         7         3         1         5         5         4         3         5         3        10         2         1         8
VardasNR187              PavardeNR187                     10         5         6         5        10         9         8         4        10        10         4         6         5         6         2         5
VardasNR188              PavardeNR188                      4        10         4        10         5         7         4         6         6         4         8         6        10         8        10         8
VardasNR189              PavardeNR189                      3         4         7         4         4         9        10         2         5         8        10         5         4         5         7         7
VardasNR190              PavardeNR190                      1        10         4         9         5         6         9         2         8         5         6         3         8         8         5        10
VardasNR191              PavardeNR191                      2         1         3         7         5         8         4         4         8         5         3         1         2         3         4        10
VardasNR192              PavardeNR192                      6         2         4        10         6         5         7         8         3         3         2         5         8         7         6         6
VardasNR193              PavardeNR193                      2         9         6        10         6         9        10         1         5         5         1         1         9         4         7         6
VardasNR194              PavardeNR194                      5         9        10         7         7         5         6         1         5         1         9         1        10         2        10        10
VardasNR195              PavardeNR195                      4        10         8         4         4         6         4         7         6         9        10         6         5         4         4         5
VardasNR196              PavardeNR196                      5         7         7         1         5         5         2         8        10         4        10         5         3         2         9         1
VardasNR197              PavardeNR197                      8         2         8        10         6         5        10         3         1         6         9        10         5         3         1         3
VardasNR198              PavardeNR198                     10         5         1         6         6        10         4         3         2         5         6         9         9         1         6        10
VardasNR199              PavardeNR199                      3         4         7        10         8         7         2        10         7         7         2         4        10         7         7         8
VardasNR200              PavardeNR200                      1         1         4         3         6         2         3         8         7         7         8         7         7        10         6         4
VardasNR201              PavardeNR201                      7        10         6        10         2         4         4         9         9         8         7         9         7         1         8         4
VardasNR202              PavardeNR202                      8         5         3         1         6         3        10         4         8         2         4         6         9        10         5         5
VardasNR203              PavardeNR203                     10         9        10         8         4         6         1         7        10         1         1         1         3         4         3         2
VardasNR204              PavardeNR204                      5         5         7         3         6         5         9         8        10         2         8        10         9         7        10        10
VardasNR205              PavardeNR205                      7         7         1         4        10         4         2         1         4         2         2         8         9         5         6         1
VardasNR206              PavardeNR206                      3         8         6         9         9         2         9        10         8         4         9         3         3         9         9         6
VardasNR207              PavardeNR207                      6         1         5         6         1         8         3         5         2        10        10         7         2         9         4         9
VardasNR208              PavardeNR208                      7         9         7         1         7         5         3         2         9         9         3         4         8         7         9         7
VardasNR209              PavardeNR209                      6         6         3         5         4         5         8         7         7         9         4         7         7         2         2         2
VardasNR210              PavardeNR210                      8         1         6         5         2         8         3         8         9         1         4         7         2         9         4         3
VardasNR211              PavardeNR211                      3         2         8         7         1         2        10         9         4         9         1         8         6         4         8         5
VardasNR212              PavardeNR212                      4         2         1         4         1         7         2         1         3         9         8         1         8         8        10         1
VardasNR213              PavardeNR213                     10        10         2        10         1         5         8         2        10         4         9         4         5         1         3        10
